Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
01/12/2021,1089,12,56,139,288,191,150,132,105,50,34,0,567,522,0,384,53,229,273,42,108,0,0,0,0,4,3,4,1,0,4,8,0,4,1,5,2,0,0,0,11,7,1,5,11,13,8,0,24,32,0,19,1,28,6,2,0
05/29/2021,89,7,23,17,16,17,15,15,7,1,1,0,42,47,0,26,1,38,10,5,9,0,0,0,1,2,1,1,2,0,3,4,0,0,0,5,1,1,0,1,2,2,1,5,6,3,3,0,15,8,0,4,0,13,5,0,1
07/07/2022,991,1,32,115,204,185,135,152,113,55,32,0,562,426,3,208,78,262,261,47,135,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,3,4,1,3,5,9,4,0,13,19,0,9,3,10,10,0,0
05/10/2022,1715,0,26,512,280,343,223,159,106,59,33,0,977,724,14,301,148,286,618,97,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,4,4,2,3,6,0,10,16,0,5,1,9,8,2,1
04/15/2020,630,31,149,21,91,107,111,124,86,46,44,0,306,324,0,260,26,194,76,33,41,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0,1,6,13,17,32,35,31,14,0,67,82,0,52,1,71,23,2,0
05/18/2020,944,33,113,67,235,151,190,149,83,46,23,0,495,441,8,511,12,184,92,22,123,0,0,2,2,2,5,10,12,0,13,20,0,10,1,13,9,0,0,1,14,11,15,21,13,22,16,0,52,61,0,46,0,48,16,1,2
04/07/2021,840,3,58,136,249,187,112,80,45,15,16,0,441,399,0,211,41,223,264,14,87,0,0,0,0,1,0,1,1,0,2,1,0,2,0,0,1,0,0,4,3,4,7,12,8,7,13,0,33,25,0,13,2,34,7,2,0
03/16/2022,235,2,13,52,53,56,32,21,13,7,0,1,109,122,4,34,12,29,105,22,33,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,2,2,2,1,0,1,5,0,0,9,4,0,1,0,7,5,0,0
02/10/2022,425,6,24,101,100,82,41,32,40,21,8,0,230,193,2,92,31,75,139,30,58,0,0,0,1,0,1,1,3,0,1,5,0,1,0,3,2,0,0,1,2,1,3,3,6,3,5,0,13,11,0,6,0,12,6,0,0
09/26/2021,207,9,23,40,45,49,25,16,11,15,6,0,106,101,0,36,6,54,80,15,16,0,0,0,2,1,2,2,2,0,4,5,0,2,1,5,1,0,0,0,4,1,2,5,4,3,4,0,12,11,0,3,0,15,5,0,0
04/08/2020,704,36,172,11,86,100,107,154,129,69,48,0,353,351,0,186,23,324,114,29,28,0,0,0,1,7,8,9,11,0,13,23,0,3,2,22,9,0,0,1,1,14,16,37,40,37,26,0,67,105,0,38,6,88,30,10,0
